f1_score,accuracy,mean-precision,mean-recall,train-loss,test-loss,epoch
1.0,1.0,1.0,1.0,3.8318120457621125,2.900459522598669,1
1.0,1.0,1.0,1.0,2.3429027337020556,2.2041852286484755,2
1.0,1.0,1.0,1.0,2.0149287574622035,2.0728818485811886,3
1.0,1.0,1.0,1.0,2.009388323896984,2.0274519642284203,4
1.0,1.0,1.0,1.0,1.9983856721043485,1.974461145460599,5
1.0,1.0,1.0,1.0,1.9627907508684777,1.909833587663849,6
1.0,1.0,1.0,1.0,1.920041437081292,1.8626714485489106,7
1.0,1.0,1.0,1.0,1.8833550682608227,1.8348947091273784,8
1.0,1.0,1.0,1.0,1.840766993238976,1.7988045557515404,9
1.0,1.0,1.0,1.0,1.7952926246643501,1.7601654808508356,10
1.0,1.0,1.0,1.0,1.7595683835582474,1.7278497175839422,11
1.0,1.0,1.0,1.0,1.7339297118480608,1.6999876160997425,12
1.0,1.0,1.0,1.0,1.713069530145415,1.673212252805973,13
1.0,1.0,1.0,1.0,1.6917437725688864,1.6460588113978674,14
1.0,1.0,1.0,1.0,1.6674458841725315,1.6190148038666061,15
1.0,1.0,1.0,1.0,1.6406472016045615,1.5927789130663814,16
1.0,1.0,1.0,1.0,1.6128419887605283,1.567061886186115,17
1.0,1.0,1.0,1.0,1.5848696845769206,1.540736866019009,18
1.0,1.0,1.0,1.0,1.557068416753787,1.5131562868153157,19
1.0,1.0,1.0,1.0,1.5301591891151434,1.4850524481331373,20
1.0,1.0,1.0,1.0,1.504262704767391,1.4569220120073376,21
1.0,1.0,1.0,1.0,1.477740232088244,1.4280058080469582,22
1.0,1.0,1.0,1.0,1.4481837668345205,1.3959889587376528,23
1.0,1.0,1.0,1.0,1.4129245968759772,1.3563910416230274,24
1.0,1.0,1.0,1.0,1.3698407670914454,1.308424651485936,25
1.0,1.0,1.0,1.0,1.3265002504776855,1.2641448068017385,26
1.0,1.0,1.0,1.0,1.294405695524083,1.2278370148781688,27
1.0,1.0,1.0,1.0,1.262502235220346,1.1915785274274007,28
1.0,1.0,1.0,1.0,1.222146768809926,1.1518749213895016,29
1.0,1.0,1.0,1.0,1.178569542098148,1.1096737251786437,30
1.0,1.0,1.0,1.0,1.1364279270700717,1.0663202739591366,31
1.0,1.0,1.0,1.0,1.0951999012744489,1.0226038369942823,32
1.0,1.0,1.0,1.0,1.0543353038823908,0.97944984698099,33
1.0,1.0,1.0,1.0,1.0144087935474417,0.9367372150197302,34
1.0,1.0,1.0,1.0,0.9752959593267327,0.8947625765018125,35
1.0,1.0,1.0,1.0,0.9369498325851742,0.8542805446588319,36
1.0,1.0,1.0,1.0,0.8992515946856887,0.8153843031766325,37
1.0,1.0,1.0,1.0,0.8620563667702936,0.7776349884387481,38
1.0,1.0,1.0,1.0,0.8256233346509875,0.7407957030449007,39
1.0,1.0,1.0,1.0,0.7904323266837121,0.705134154244506,40
1.0,1.0,1.0,1.0,0.7567856263470475,0.6710509317600508,41
1.0,1.0,1.0,1.0,0.7246160967062045,0.6387442543543044,42
1.0,1.0,1.0,1.0,0.6937308343354996,0.6082147854107781,43
1.0,1.0,1.0,1.0,0.6640825875032135,0.5793764583407509,44
1.0,1.0,1.0,1.0,0.6357553595888404,0.5521338439904743,45
1.0,1.0,1.0,1.0,0.6088197303288245,0.5264070890562336,46
1.0,1.0,1.0,1.0,0.5832509686977039,0.5021400629001944,47
1.0,1.0,1.0,1.0,0.558968783471412,0.479297466605852,48
1.0,1.0,1.0,1.0,0.5359080611480944,0.45784220732510067,49
1.0,1.0,1.0,1.0,0.5140344598125174,0.4377129224911649,50
1.0,1.0,1.0,1.0,0.4933163096447283,0.41882168643584095,51
1.0,1.0,1.0,1.0,0.47370296273040324,0.40107186802719275,52
1.0,1.0,1.0,1.0,0.45513272564633533,0.3843785111636731,53
1.0,1.0,1.0,1.0,0.4375506438265369,0.36867512718850665,54
1.0,1.0,1.0,1.0,0.42091204488298173,0.353907506710139,55
1.0,1.0,1.0,1.0,0.40517298845770977,0.34002480758683046,56
1.0,1.0,1.0,1.0,0.39028248338733174,0.3269749276549556,57
1.0,1.0,1.0,1.0,0.3761845757511598,0.31470416472431495,58
1.0,1.0,1.0,1.0,0.362825788362285,0.3031583736176406,59
1.0,1.0,1.0,1.0,0.3501595207642437,0.29228439883759466,60
1.0,1.0,1.0,1.0,0.3381448089294624,0.2820319911189637,61
1.0,1.0,1.0,1.0,0.3267428713484411,0.2723558355854441,62
1.0,1.0,1.0,1.0,0.31591537822711174,0.2632164650171864,63
1.0,1.0,1.0,1.0,0.3056251811206622,0.25457934877717026,64
1.0,1.0,1.0,1.0,0.2958377035501456,0.24641288095428102,65
1.0,1.0,1.0,1.0,0.2865213659109999,0.23868675032507447,66
1.0,1.0,1.0,1.0,0.2776470152423258,0.23137157218548504,67
1.0,1.0,1.0,1.0,0.26918727120948843,0.22443949702581606,68
1.0,1.0,1.0,1.0,0.2611163868694875,0.21786491144643563,69
1.0,1.0,1.0,1.0,0.25341046250174404,0.2116246270158008,70
1.0,1.0,1.0,1.0,0.24604754583989427,0.20569758241710345,71
1.0,1.0,1.0,1.0,0.23900742332194458,0.20006442472295075,72
1.0,1.0,1.0,1.0,0.23227127761169558,0.1947072337324545,73
1.0,1.0,1.0,1.0,0.22582146496161487,0.1896093928304117,74
1.0,1.0,1.0,1.0,0.21964148038657796,0.18475548926095578,75
1.0,1.0,1.0,1.0,0.2137159928285754,0.1801311874387074,76
1.0,1.0,1.0,1.0,0.20803081661758696,0.17572311380338154,77
1.0,1.0,1.0,1.0,0.20257279387556176,0.17151880117340274,78
1.0,1.0,1.0,1.0,0.19732965364077673,0.16750667961668989,79
1.0,1.0,1.0,1.0,0.19228991334681017,0.16367605616102274,80
1.0,1.0,1.0,1.0,0.18744283122520977,0.16001704394982444,81
1.0,1.0,1.0,1.0,0.182778375748863,0.15652045378080748,82
1.0,1.0,1.0,1.0,0.1782871818350484,0.15317769184343827,83
1.0,1.0,1.0,1.0,0.17396049198251115,0.1499806948540411,84
1.0,1.0,1.0,1.0,0.1697900988964869,0.146921900077572,85
1.0,1.0,1.0,1.0,0.1657683020155466,0.14399422680617188,86
1.0,1.0,1.0,1.0,0.16188787612144068,0.14119105010260477,87
1.0,1.0,1.0,1.0,0.15814204261980247,0.13850616438655694,88
1.0,1.0,1.0,1.0,0.15452443760598208,0.13593374545667067,89
1.0,1.0,1.0,1.0,0.151029078292932,0.13346831832248443,90
1.0,1.0,1.0,1.0,0.14765033267164765,0.13110473115081006,91
1.0,1.0,1.0,1.0,0.14438289492878587,0.12883813152464962,92
1.0,1.0,1.0,1.0,0.14122176520881274,0.12666394265839245,93
1.0,1.0,1.0,1.0,0.13816223077864356,0.12457784064097502,94
1.0,1.0,1.0,1.0,0.13519984700291754,0.12257573501294197,95
1.0,1.0,1.0,1.0,0.13233041858767786,0.1206537533474735,96
1.0,1.0,1.0,1.0,0.1295499823207143,0.1188082283030711,97
1.0,1.0,1.0,1.0,0.12685479187382995,0.11703568505371899,98
1.0,1.0,1.0,1.0,0.12424130425623864,0.11533282819564791,99
1.0,1.0,1.0,1.0,0.12170616717887649,0.11369652871905149,100
1.0,1.0,1.0,1.0,0.11924620694762977,0.11212381213431194,101
1.0,1.0,1.0,1.0,0.11685841698510306,0.11061184828782862,102
1.0,1.0,1.0,1.0,0.11453994722824208,0.10915794260237592,103
1.0,1.0,1.0,1.0,0.11228809446447163,0.10775952815101686,104
1.0,1.0,1.0,1.0,0.11010029343937436,0.10641415819222032,105
1.0,1.0,1.0,1.0,0.10797410851481172,0.10511949915758469,106
1.0,1.0,1.0,1.0,0.10590722576718332,0.10387332423067036,107
1.0,1.0,1.0,1.0,0.10389744554317402,0.10267350755156336,108
1.0,1.0,1.0,1.0,0.10194267552523009,0.10151801892563514,109
1.0,1.0,1.0,1.0,0.10004092430848724,0.10040491887906174,110
1.0,1.0,1.0,1.0,0.09819029543044651,0.09933235399119429,111
1.0,1.0,1.0,1.0,0.09638898178001659,0.0982985525335451,112
1.0,1.0,1.0,1.0,0.09463526034060481,0.09730182046723328,113
